_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
2096,5365992,2023,1948,2024,PRIVATE,14,Toronto-Danforth,1550 QUEEN ST E,3,31,2024-07-11,84,84,0,37,3,3,3,N/A,N/A,2,N/A,2,2,2,N/A,N/A,3,3,3,3,2,N/A,3,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,3,2,2,3,N/A,2,3,3,1,2,3,3,3,3,3,3,3,3,2,3,3,S1439,43.66580976,-79.31980711,319316.215,4836000.807
2097,5389348,2024,1930,2024,PRIVATE,19,Beaches-East York,1636 QUEEN ST E,3,21,2024-06-14,77,77,0,39,2,3,3,N/A,3,1,N/A,1,3,3,N/A,N/A,3,1,2,3,1,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,N/A,3,2,3,1,3,N/A,3,3,3,1,3,3,2,3,1,1,1,3,3,1,3,1,S1937,43.66683128,-79.31563897,319652.11,4836115.025
2098,5389354,2024,1930,2024,PRIVATE,19,Beaches-East York,1638 QUEEN ST E,3,23,2024-08-15,77,77,0,36,3,2,3,N/A,N/A,3,N/A,2,2,2,N/A,N/A,3,2,3,3,1,N/A,3,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,2,2,N/A,3,N/A,2,2,2,2,2,3,3,3,2,1,1,1,3,1,3,1,S1937,43.66684654,-79.31548812,319664.271,4836116.747
2099,4153673,2017,1925,2023,PRIVATE,19,Beaches-East York,1836 QUEEN ST E,4,30,2023-08-13,76,76,0,38,2,3,N/A,1,3,1,N/A,2,2,2,N/A,N/A,3,2,2,2,2,N/A,2,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,3,3,N/A,1,1,3,3,2,3,2,3,3,1,1,3,3,3,3,1,S1937,43.66845984,-79.30839451,320236.165,4836296.316
2100,4153673,2017,1925,2025,PRIVATE,19,Beaches-East York,1836 QUEEN ST E,4,30,2025-11-03,86,86,0,38,3,3,3,N/A,3,1,N/A,2,3,3,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,1,3,N/A,N/A,N/A,1,2,3,N/A,3,N/A,2,1,3,2,2,3,2,3,3,3,3,3,3,3,3,3,S1937,43.66845984,-79.30839451,320236.165,4836296.316
2101,4153687,2017,1923,2023,PRIVATE,19,Beaches-East York,2150 QUEEN ST E,4,16,2023-09-18,87,87,0,36,3,2,N/A,3,N/A,1,3,3,3,2,N/A,3,3,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,2,0,0,0,3,0,3,0,S1939,43.67196824,-79.29178994,321573.963,4836690.259
2102,4153687,2017,1923,2025,PRIVATE,19,Beaches-East York,2150 QUEEN ST E,4,16,2025-11-03,90,90,0,37,3,3,3,3,N/A,1,3,2,3,3,N/A,N/A,3,1,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,3,3,3,2,3,3,3,3,1,3,3,3,3,S1939,43.67196824,-79.29178994,321573.963,4836690.259
2103,4653431,2019,1965,2023,PRIVATE,19,Beaches-East York,2178 QUEEN ST E,3,21,2023-07-24,71,71,0,36,3,2,3,1,N/A,2,N/A,2,2,2,N/A,N/A,3,3,2,2,N/A,N/A,2,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,1,2,N/A,3,N/A,2,2,2,3,2,3,2,3,2,1,1,1,1,1,1,1,S1939,43.67219774,-79.29089022,321646.453,4836715.931
2104,4653431,2019,1965,2025,PRIVATE,19,Beaches-East York,2178 QUEEN ST E,3,21,2025-11-03,94,94,0,37,3,3,3,3,N/A,2,N/A,2,3,3,N/A,N/A,3,2,3,3,N/A,N/A,3,3,3,N/A,N/A,N/A,3,N/A,3,N/A,3,3,3,N/A,3,N/A,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,S1939,43.67219774,-79.29089022,321646.453,4836715.931
2105,4228766,2017,1905,2023,PRIVATE,19,Beaches-East York,2218 QUEEN ST E,3,16,2023-06-30,81,81,0,35,1,2,N/A,N/A,3,2,N/A,3,3,2,N/A,N/A,3,2,2,2,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,3,2,N/A,3,N/A,2,3,2,2,2,2,2,3,3,3,3,1,3,1,3,3,S1940,43.67275562,-79.28830045,321855.126,4836778.436
2106,4228766,2017,1905,2025,PRIVATE,19,Beaches-East York,2218 QUEEN ST E,3,16,2025-11-04,91,92,-1,38,3,3,N/A,3,3,2,N/A,2,3,3,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,S1940,43.67275562,-79.28830045,321855.126,4836778.436
2107,4153662,2017,1975,2024,PRIVATE,19,Beaches-East York,2263 QUEEN ST E,3,18,2024-07-05,78,78,0,35,2,2,N/A,2,N/A,2,N/A,3,2,2,N/A,N/A,3,2,2,2,N/A,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,3,3,N/A,2,2,3,3,2,3,2,3,3,2,1,2,1,1,1,1,S1942,43.67109008,-79.29387245,321406.268,4836592.298
2108,5386613,2024,1928,2024,PRIVATE,19,Beaches-East York,2265 QUEEN ST E,3,18,2024-06-20,87,87,0,37,2,3,N/A,3,3,3,N/A,2,3,3,N/A,3,3,1,3,3,N/A,3,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,S1942,43.67114612,-79.29365646,321423.671,4836598.566
2109,4153664,2017,1927,2024,PRIVATE,19,Beaches-East York,2269 QUEEN ST E,3,17,2024-07-04,87,87,0,35,2,3,N/A,N/A,N/A,2,N/A,3,2,2,N/A,N/A,3,3,3,3,1,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,2,3,3,3,N/A,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,S1942,43.67124405,-79.29326503,321455.209,4836609.522
2110,4288796,2017,1920,2024,PRIVATE,19,Beaches-East York,2327 QUEEN ST E,3,27,2024-07-24,69,70,-1,38,1,1,N/A,3,N/A,1,3,3,1,1,N/A,N/A,3,3,1,1,1,N/A,3,1,N/A,N/A,N/A,1,3,N/A,N/A,N/A,2,1,3,1,3,N/A,1,1,3,3,1,3,2,3,3,3,3,3,3,3,3,3,S1942,43.6716538,-79.29125051,321617.55,4836655.434
2111,4153665,2017,1940,2024,SOCIAL HOUSING,19,Beaches-East York,2363 QUEEN ST E,4,20,2024-07-08,87,87,0,46,2,2,3,2,3,2,2,2,3,2,N/A,N/A,3,3,2,2,2,3,3,3,N/A,N/A,3,2,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,3,2,3,3,2,3,3,3,3,3,3,S1942,43.67215943,-79.28867321,321825.237,4836712.125
2112,4250634,2018,1925,2023,PRIVATE,19,Beaches-East York,2367 QUEEN ST E,3,24,2023-10-18,89,89,0,36,3,3,N/A,N/A,N/A,2,N/A,2,3,2,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,2,3,3,3,3,3,3,2,2,1,1,3,3,3,1,S1942,43.67215962,-79.28829739,321855.542,4836712.225
2113,4250634,2018,1925,2025,PRIVATE,19,Beaches-East York,2367 QUEEN ST E,3,24,2025-11-04,93,93,0,36,3,3,3,N/A,N/A,2,N/A,2,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,S1942,43.67215962,-79.28829739,321855.542,4836712.225
2114,4153666,2017,1930,2023,PRIVATE,19,Beaches-East York,2373 QUEEN ST E,3,27,2023-09-18,72,72,0,38,3,3,N/A,2,N/A,3,3,3,3,1,N/A,3,3,1,3,2,3,N/A,2,2,2,N/A,N/A,1,3,N/A,N/A,N/A,2,2,3,N/A,N/A,N/A,2,2,2,3,3,3,2,3,1,0,0,0,0,0,0,0,S1942,43.67231202,-79.28774833,321899.772,4836729.269
2115,4153666,2017,1930,2025,PRIVATE,19,Beaches-East York,2373 QUEEN ST E,3,27,2025-10-15,84,85,-1,35,3,3,N/A,N/A,3,2,N/A,2,3,2,N/A,N/A,3,3,2,3,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,2,N/A,3,N/A,2,3,3,1,3,2,3,3,3,3,3,1,3,1,1,3,S1942,43.67231202,-79.28774833,321899.772,4836729.269
2116,4288799,2017,1920,2023,PRIVATE,19,Beaches-East York,2393 QUEEN ST E,3,24,2023-06-30,70,70,0,37,3,2,2,2,3,2,N/A,1,3,2,N/A,N/A,3,3,2,2,2,N/A,2,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,1,1,2,N/A,3,N/A,2,2,2,1,2,3,2,3,2,1,1,1,1,1,1,1,S1942,43.67249888,-79.28687383,321970.236,4836750.21
2117,4288799,2017,1920,2025,PRIVATE,19,Beaches-East York,2393 QUEEN ST E,3,24,2025-10-15,83,84,-1,35,3,3,3,N/A,N/A,2,N/A,2,3,2,N/A,N/A,3,1,3,3,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,1,2,3,3,3,3,3,3,1,3,1,1,3,S1942,43.67249888,-79.28687383,321970.236,4836750.21
2118,4152558,2017,1920,2023,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2023-10-12,89,89,0,36,3,2,3,3,N/A,2,N/A,2,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,N/A,3,N/A,2,3,3,2,3,2,3,3,3,3,1,3,3,3,3,3,E2033,43.67468565,-79.28014133,322512.757,4836993.597
2119,4152558,2017,1920,2025,PRIVATE,20,Scarborough Southwest,2400 QUEEN ST E,4,32,2025-10-22,91,91,0,38,3,3,3,3,3,2,N/A,2,3,2,N/A,3,3,3,3,3,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,3,N/A,2,N/A,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,E2033,43.67468565,-79.28014133,322512.757,4836993.597
2120,4288792,2017,1920,2023,PRIVATE,19,Beaches-East York,2401 QUEEN ST E,3,21,2023-06-29,80,80,0,37,3,3,2,2,3,2,N/A,3,3,2,N/A,N/A,3,1,2,2,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,3,3,3,3,3,2,3,1,1,1,1,1,1,1,1,S1942,43.67266292,-79.28612397,322030.657,4836768.588
2121,4288792,2017,1920,2025,PRIVATE,19,Beaches-East York,2401 QUEEN ST E,3,21,2025-10-15,85,86,-1,35,3,3,N/A,3,N/A,2,N/A,2,3,2,N/A,N/A,3,3,2,3,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,2,3,1,3,3,3,3,3,3,3,1,3,1,1,3,S1942,43.67266292,-79.28612397,322030.657,4836768.588
2122,4152557,2017,1932,2023,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2023-08-03,94,94,0,40,3,2,3,3,3,3,N/A,2,3,2,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67456893,-79.27985665,322540.371,4836989.545
2123,4152557,2017,1932,2025,PRIVATE,20,Scarborough Southwest,2402 QUEEN ST E,4,21,2025-07-10,97,97,0,39,3,3,3,3,3,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,E2033,43.67456893,-79.27985665,322540.371,4836989.545
2124,4281384,2017,1937,2024,PRIVATE,20,Scarborough Southwest,2404 QUEEN ST E,4,20,2024-06-19,94,94,0,40,3,3,3,3,3,2,N/A,2,N/A,3,N/A,3,3,3,3,3,3,3,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,2,N/A,3,N/A,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,3,E2033,43.67466055,-79.27971185,322547.395,4836990.9
2125,4288787,2017,1920,2024,PRIVATE,19,Beaches-East York,2405 QUEEN ST E,3,23,2024-09-15,78,78,0,36,3,1,N/A,3,N/A,2,N/A,1,2,1,N/A,N/A,3,3,2,2,2,N/A,2,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,1,3,3,3,N/A,2,2,3,1,2,3,2,3,3,3,3,1,3,3,3,3,S1942,43.67269128,-79.28587023,322051.11,4836771.791
2126,4152556,2017,1937,2023,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2023-08-03,93,93,0,40,3,2,3,3,3,2,N/A,2,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67477481,-79.27960211,322556.21,4837003.617
2127,4152556,2017,1937,2025,PRIVATE,20,Scarborough Southwest,2406 QUEEN ST E,4,13,2025-07-10,95,95,0,40,3,3,3,3,3,2,2,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67477481,-79.27960211,322556.21,4837003.617
2128,4152555,2017,1957,2025,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2025-11-14,77,77,0,39,3,2,2,2,3,2,2,1,3,2,N/A,N/A,3,3,2,3,2,N/A,2,2,N/A,N/A,N/A,2,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,2,3,1,2,3,3,3,2,3,3,2,3,1,3,3,E2033,43.67487167,-79.2794749,322566.439,4837014.405
2129,4152555,2017,1957,2023,PRIVATE,20,Scarborough Southwest,2412 QUEEN ST E,3,17,2023-10-02,82,82,0,38,3,3,N/A,N/A,3,2,2,2,3,2,N/A,N/A,3,3,3,3,2,N/A,2,2,2,N/A,N/A,2,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,2,3,3,2,3,3,3,3,3,3,3,0,0,0,3,E2033,43.67487167,-79.2794749,322566.439,4837014.405
2130,4152554,2017,1950,2024,PRIVATE,20,Scarborough Southwest,2422 QUEEN ST E,4,24,2024-06-19,84,84,0,37,3,3,3,3,N/A,3,N/A,2,3,2,N/A,N/A,3,2,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,N/A,N/A,N/A,3,3,2,N/A,3,N/A,2,3,2,1,2,3,2,3,3,1,1,1,1,1,1,1,E2033,43.6749405,-79.27920273,322588.365,4837022.11
2131,4152560,2017,1970,2023,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2023-10-12,97,97,0,44,3,3,3,3,3,2,3,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67517424,-79.27850941,322644.203,4837048.226
2132,4152560,2017,1970,2025,PRIVATE,20,Scarborough Southwest,2440 QUEEN ST E,6,24,2025-10-22,98,98,0,46,3,3,3,3,3,2,3,2,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67517424,-79.27850941,322644.203,4837048.226
2133,4153668,2017,1920,2023,PRIVATE,19,Beaches-East York,2449 QUEEN ST E,4,29,2023-09-18,65,65,0,36,3,2,N/A,3,N/A,3,N/A,3,0,1,N/A,3,3,0,2,2,3,N/A,3,3,N/A,N/A,N/A,0,0,N/A,N/A,N/A,2,2,2,N/A,N/A,N/A,2,2,2,3,3,3,3,3,2,0,0,0,0,0,0,0,S1942,43.67304043,-79.28431171,322176.688,4836810.9
2134,4153668,2017,1920,2025,PRIVATE,19,Beaches-East York,2449 QUEEN ST E,4,29,2025-10-15,84,85,-1,36,3,3,3,N/A,3,2,N/A,2,3,3,N/A,N/A,3,3,2,2,2,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,2,3,1,3,3,3,3,3,3,3,1,3,1,1,3,S1942,43.67304043,-79.28431171,322176.688,4836810.9
2135,4153669,2017,1920,2023,PRIVATE,19,Beaches-East York,2451 QUEEN ST E,4,29,2023-09-18,74,74,0,35,3,2,N/A,2,N/A,2,N/A,3,0,2,N/A,3,3,2,2,3,3,N/A,3,1,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,2,3,N/A,N/A,N/A,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,0,S1942,43.67311901,-79.28409349,322194.262,4836819.675
2136,4153669,2017,1920,2025,PRIVATE,19,Beaches-East York,2451 QUEEN ST E,4,29,2025-10-15,87,88,-1,36,3,3,3,N/A,3,2,N/A,2,3,3,N/A,N/A,3,3,2,2,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,2,3,1,3,3,3,3,3,3,3,1,3,3,1,3,S1942,43.67311901,-79.28409349,322194.262,4836819.675
2137,4153670,2017,1920,2023,PRIVATE,19,Beaches-East York,2453 QUEEN ST E,4,16,2023-06-27,75,75,0,36,3,2,3,2,3,2,N/A,2,3,2,N/A,N/A,3,3,2,2,N/A,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,2,N/A,3,N/A,2,3,2,1,3,3,2,3,1,1,1,1,1,1,1,1,S1942,43.67317576,-79.28392826,322207.57,4836826.014
2138,4153670,2017,1920,2025,PRIVATE,19,Beaches-East York,2453 QUEEN ST E,4,16,2025-10-15,87,88,-1,36,3,3,3,N/A,3,2,N/A,2,3,3,N/A,N/A,3,3,2,2,3,N/A,3,3,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,N/A,3,N/A,2,2,3,1,3,3,3,3,3,3,3,1,3,3,1,3,S1942,43.67317576,-79.28392826,322207.57,4836826.014
2139,5390828,2024,1970,2024,PRIVATE,19,Beaches-East York,2477 QUEEN ST E,3,11,2024-08-29,84,84,0,37,2,3,3,N/A,3,2,N/A,3,2,2,N/A,N/A,3,3,2,2,2,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,2,2,3,3,3,N/A,2,2,3,1,1,3,2,3,3,3,3,3,3,3,3,3,S1942,43.67345241,-79.28267564,322308.759,4836856.056
2140,4152559,2017,1954,2025,SOCIAL HOUSING,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2025-07-29,94,94,0,39,3,3,3,3,3,3,N/A,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,2,3,2,N/A,3,N/A,2,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,E2033,43.67533063,-79.27794494,322689.673,4837065.722
2141,4152559,2017,1954,2023,SOCIAL HOUSING,20,Scarborough Southwest,3000 QUEEN ST E,4,30,2023-08-01,95,95,0,39,3,3,3,3,N/A,3,N/A,2,3,3,N/A,3,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,2,N/A,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67533063,-79.27794494,322689.673,4837065.722
2142,4152563,2018,1932,2023,PRIVATE,20,Scarborough Southwest,3008 QUEEN ST E,4,16,2023-09-06,86,86,0,38,3,3,3,3,3,2,N/A,2,3,3,N/A,N/A,1,1,3,3,3,N/A,3,1,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,1,3,N/A,3,N/A,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,E2033,43.6754276,-79.27742774,322731.349,4837076.607
2143,4152563,2018,1932,2025,PRIVATE,20,Scarborough Southwest,3008 QUEEN ST E,4,16,2025-09-05,95,95,0,38,3,3,3,3,3,2,N/A,2,3,3,N/A,N/A,3,2,3,3,3,N/A,3,3,N/A,N/A,N/A,3,3,N/A,N/A,N/A,3,2,3,N/A,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.6754276,-79.27742774,322731.349,4837076.607
2144,4152562,2018,1932,2024,PRIVATE,20,Scarborough Southwest,3010 QUEEN ST E,4,16,2024-08-15,93,93,0,39,3,3,2,N/A,2,2,N/A,3,2,3,N/A,N/A,3,2,3,3,2,N/A,3,3,2,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67547996,-79.27722047,322748.047,4837082.469
2145,4155743,2017,1954,2025,PRIVATE,20,Scarborough Southwest,3015 D QUEEN ST E,4,16,2025-07-10,89,91,-2,37,3,3,N/A,N/A,3,2,N/A,2,3,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,2,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67470551,-79.27738934,322734.656,4836996.394
2146,4155743,2017,1954,2023,PRIVATE,20,Scarborough Southwest,3015 D QUEEN ST E,4,16,2023-07-11,93,93,0,40,3,2,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,3,3,1,N/A,3,3,3,N/A,3,2,3,N/A,N/A,N/A,3,2,3,N/A,3,N/A,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,3,E2033,43.67470551,-79.27738934,322734.656,4836996.394
2147,4317586,2018,1954,2025,PRIVATE,20,Scarborough Southwest,3015 QUEEN ST E,4,15,2025-07-09,90,92,-2,38,3,3,N/A,3,3,2,N/A,2,3,3,N/A,N/A,3,3,2,3,3,N/A,3,3,3,N/A,N/A,2,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,2,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67466683,-79.27765351,322713.366,4836992.04
2148,4317586,2018,1954,2023,PRIVATE,20,Scarborough Southwest,3015 QUEEN ST E,4,15,2023-06-05,95,95,0,37,3,3,N/A,N/A,N/A,2,N/A,3,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,N/A,N/A,3,2,3,N/A,N/A,N/A,3,3,3,3,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67466683,-79.27765351,322713.366,4836992.04
2149,4317588,2018,1954,2024,PRIVATE,20,Scarborough Southwest,3015 A QUEEN ST E,4,15,2024-09-12,90,92,-2,39,3,3,3,3,3,2,N/A,3,2,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,3,3,3,1,3,3,3,3,2,3,3,3,2,2,2,3,E2033,43.67466683,-79.27765351,,
2150,4317589,2018,1954,2024,PRIVATE,20,Scarborough Southwest,3015 F QUEEN ST E,4,15,2024-06-24,91,93,-2,40,3,3,3,3,3,2,N/A,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,3,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,1,2,3,3,3,3,3,3,3,1,3,3,3,E2033,43.67466683,-79.27765351,,
2151,4317590,2018,1954,2023,PRIVATE,20,Scarborough Southwest,3017 QUEEN ST E,4,15,2023-08-01,92,96,-2,39,3,3,3,3,3,3,N/A,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,2,3,3,N/A,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,E2033,43.67475703,-79.27715473,322753.558,4837002.168
2152,4317592,2018,1954,2024,PRIVATE,20,Scarborough Southwest,3017 B QUEEN ST E,4,15,2024-06-24,92,94,-2,38,3,3,N/A,3,3,3,N/A,2,3,3,N/A,N/A,3,3,3,3,3,N/A,3,3,3,N/A,N/A,3,3,N/A,N/A,N/A,3,3,3,N/A,3,N/A,3,3,3,1,3,3,3,3,3,3,3,3,1,3,3,3,E2033,43.67475703,-79.27715473,,
2153,4317594,2018,1954,2024,PRIVATE,20,Scarborough Southwest,3017 G QUEEN ST E,4,15,2024-09-12,91,93,-2,39,3,3,3,3,3,2,N/A,3,2,3,N/A,N/A,3,3,3,3,2,N/A,3,3,3,N/A,3,3,3,N/A,N/A,N/A,2,3,3,N/A,N/A,N/A,2,3,3,3,3,3,2,3,2,3,3,2,2,3,2,3,E2033,43.67475703,-79.27715473,,
2154,4155681,2017,1996,2024,SOCIAL HOUSING,10,Spadina-Fort York,900 QUEEN ST W,3,22,2024-07-26,81,81,0,40,3,3,1,N/A,3,1,N/A,3,3,3,N/A,N/A,3,3,3,3,2,N/A,3,3,2,N/A,N/A,1,3,N/A,3,2,1,2,3,N/A,1,N/A,1,2,2,2,2,3,3,3,3,1,3,3,3,1,3,3,S1021,43.64506279,-79.41560541,311592.747,4833683.596
