_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARD,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,NUMBERING OF PROPERTY,EXTERIOR GROUNDS,FENCING,RETAINING WALLS,CATCH BASINS / STORM DRAINAGE,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,CLOTHING DROP BOXES,ACCESSORY BUILDINGS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY - WALLS AND CEILING,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,STORAGE AREAS/LOCKERS MAINT.,POOLS,OTHER AMENITIES,PARKING AREAS,ABANDONED EQUIP./DERELICT VEH.,GARBAGE/COMPACTOR ROOM,ELEVATOR MAINTENANCE,ELEVATOR COSMETICS,INT. HALLWAY - WALLS / CEILING,INTERIOR HALLWAY FLOORS,INT. LOBBY / HALLWAY LIGHTING,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,CHUTE ROOMS - MAINTENANCE,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,INT. HANDRAIL / GUARD - MAINT.,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,PEST CONTROL LOG,MAINTENANCE LOG,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y
144,4154356,2017,1967,2023,PRIVATE,05,York South-Weston,1440 LAWRENCE AVE W,13,207,2023-06-23,78,78,0,42,2,3,2,N/A,3,3,2,3,3,3,N/A,N/A,3,2,2,3,1,N/A,N/A,3,N/A,N/A,N/A,2,3,2,2,2,1,1,3,2,3,1,1,3,3,3,3,2,1,2,2,3,3,3,1,1,1,3,W0526,43.70891128,-79.47943048,306442.181,4840772.807
145,4154356,2017,1967,2025,PRIVATE,05,York South-Weston,1440 LAWRENCE AVE W,13,207,2025-11-21,80,80,0,41,3,3,2,2,3,2,2,1,3,2,N/A,N/A,3,2,2,3,1,N/A,N/A,2,N/A,N/A,N/A,2,3,N/A,3,3,1,1,1,3,3,N/A,1,2,3,3,2,3,1,3,3,3,3,3,3,3,3,3,W0526,43.70891128,-79.47943048,306442.181,4840772.807
146,4169109,2017,1967,2023,PRIVATE,05,York South-Weston,1442 LAWRENCE AVE W,13,214,2023-06-23,80,80,0,43,3,1,3,N/A,3,3,2,3,3,3,N/A,N/A,3,3,2,2,1,N/A,3,3,N/A,N/A,N/A,2,3,2,3,2,1,2,2,1,3,1,1,3,3,3,3,1,1,3,2,3,3,3,1,1,3,3,W0526,43.70895357,-79.4805254,306428.133,4840717.808
147,4169109,2017,1967,2025,PRIVATE,05,York South-Weston,1442 LAWRENCE AVE W,13,214,2025-11-21,76,76,0,44,3,2,2,2,3,2,2,1,3,2,N/A,N/A,3,1,2,3,1,N/A,3,2,N/A,N/A,N/A,2,3,2,3,3,1,1,3,3,1,1,1,2,3,3,2,3,2,3,2,3,3,3,3,3,3,3,W0526,43.70895357,-79.4805254,306428.133,4840717.808
148,4155751,2017,1969,2025,PRIVATE,05,York South-Weston,1465 LAWRENCE AVE W,20,161,2025-11-25,93,93,0,44,3,3,3,3,3,2,2,3,3,3,N/A,N/A,3,3,3,3,2,N/A,3,3,2,3,N/A,3,3,N/A,3,2,2,3,3,2,3,N/A,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,W0529,43.70739031,-79.48039893,306364.173,4840603.819
149,4155751,2017,1969,2023,PRIVATE,05,York South-Weston,1465 LAWRENCE AVE W,20,161,2023-09-08,93,93,0,44,3,3,3,3,3,3,2,3,1,2,N/A,N/A,3,3,3,3,3,N/A,3,3,3,3,N/A,3,3,N/A,3,3,2,2,3,3,2,N/A,3,3,3,3,2,3,2,3,3,3,3,3,3,2,3,3,W0529,43.70739031,-79.48039893,306364.173,4840603.819
150,4154344,2017,1963,2024,PRIVATE,05,York South-Weston,1524 LAWRENCE AVE W,6,76,2024-07-29,87,87,0,43,3,3,2,2,2,3,2,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,2,3,N/A,N/A,2,3,N/A,3,3,2,2,3,3,3,N/A,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,W0526,43.70735622,-79.48503904,305989.957,4840600.919
151,4154345,2017,1963,2023,PRIVATE,05,York South-Weston,1550 LAWRENCE AVE W,7,95,2023-09-29,83,83,0,46,3,3,3,2,3,2,2,3,2,3,N/A,N/A,3,3,2,3,2,3,3,2,2,N/A,N/A,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,3,2,3,3,3,3,2,0,3,3,2,W0526,43.70721498,-79.48616441,305899.264,4840585.216
152,4154345,2017,1963,2025,PRIVATE,05,York South-Weston,1550 LAWRENCE AVE W,7,95,2025-11-24,85,85,0,45,3,3,2,2,3,2,3,3,3,2,N/A,N/A,3,3,2,3,2,N/A,3,2,3,N/A,N/A,2,3,1,3,3,1,2,3,1,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,W0526,43.70721498,-79.48616441,305899.264,4840585.216
153,4154346,2017,1962,2023,PRIVATE,05,York South-Weston,1560 LAWRENCE AVE W,6,76,2023-08-10,82,82,0,45,3,3,3,2,3,2,2,3,2,2,N/A,N/A,3,3,2,2,3,2,3,2,N/A,N/A,N/A,2,3,2,3,2,2,3,3,2,3,3,2,2,3,3,2,3,3,3,2,1,3,1,0,3,0,2,W0526,43.70679969,-79.48744729,305791.914,4840520.101
154,4154346,2017,1962,2025,PRIVATE,05,York South-Weston,1560 LAWRENCE AVE W,6,76,2025-11-24,81,81,0,45,3,3,2,2,3,2,2,1,3,2,N/A,N/A,3,3,3,3,2,N/A,3,2,1,N/A,N/A,2,3,1,3,3,1,2,3,1,3,1,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,W0526,43.70679969,-79.48744729,305791.914,4840520.101
155,4154342,2017,1960,2024,PRIVATE,05,York South-Weston,1570 LAWRENCE AVE W,6,87,2024-06-10,75,75,0,48,3,2,3,3,2,1,1,2,2,2,2,1,3,3,3,3,2,2,3,2,3,N/A,N/A,1,3,3,3,2,1,1,3,1,2,3,1,3,3,2,3,3,3,3,2,3,3,1,3,1,2,3,W0526,43.70663903,-79.488379,305721.056,4840520.254
156,4154299,2018,1970,2025,PRIVATE,05,York South-Weston,1577 LAWRENCE AVE W,15,350,2025-11-18,86,86,0,44,3,2,3,2,3,2,2,3,3,2,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,N/A,1,3,1,3,2,2,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0529,43.70541807,-79.48947211,305632.974,4840384.601
157,4154299,2018,1970,2023,PRIVATE,05,York South-Weston,1577 LAWRENCE AVE W,15,350,2023-10-31,89,89,0,45,3,3,3,2,3,2,3,3,2,2,N/A,N/A,3,3,3,3,3,N/A,3,2,N/A,N/A,3,2,2,2,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,W0529,43.70541807,-79.48947211,305632.974,4840384.601
158,4154298,,1962,2025,PRIVATE,05,York South-Weston,1619 LAWRENCE AVE W,4,24,2025-09-26,82,82,0,41,3,3,N/A,3,N/A,1,1,3,2,3,N/A,N/A,3,3,2,3,2,N/A,3,2,2,N/A,N/A,2,3,N/A,3,3,1,1,3,3,3,N/A,2,3,3,3,2,3,3,3,3,2,2,1,1,1,1,2,W0529,43.70526983,-79.49118275,305495.106,4840368.12
